asm|cpu|synth|const|ops
aci %n|8080|_||CE %n
aci %n|8080_strict|_||CE %n
aci %n|8085|_||CE %n
aci %n|8085_strict|_||CE %n
aci %n|ez80|_||CE %n
aci %n|ez80_z80|_||CE %n
aci %n|gbz80|_||CE %n
aci %n|kc160|_||CE %n
aci %n|kc160_z80|_||CE %n
aci %n|r2ka|_||CE %n
aci %n|r3k|_||CE %n
aci %n|r4k|_||CE %n
aci %n|r5k|_||CE %n
aci %n|r6k|_||CE %n
aci %n|r800|_||CE %n
aci %n|z180|_||CE %n
aci %n|z80|_||CE %n
aci %n|z80n|_||CE %n
adc %n|8080|_||CE %n
adc %n|8085|_||CE %n
adc %n|ez80|_||CE %n
adc %n|ez80_z80|_||CE %n
adc %n|gbz80|_||CE %n
adc %n|kc160|_||CE %n
adc %n|kc160_z80|_||CE %n
adc %n|r2ka|_||CE %n
adc %n|r3k|_||CE %n
adc %n|r4k|_||CE %n
adc %n|r5k|_||CE %n
adc %n|r6k|_||CE %n
adc %n|r6k_strict|_||CE %n
adc %n|r800|_||CE %n
adc %n|z180|_||CE %n
adc %n|z80|_||CE %n
adc %n|z80n|_||CE %n
adc (ahl)|kc160|_||52;8E
adc (aix)|kc160|_||52;DD 8E 00
adc (aix+%d)|kc160|_||52;DD 8E %d
adc (aiy)|kc160|_||52;FD 8E 00
adc (aiy+%d)|kc160|_||52;FD 8E %d
adc (hl)|8080|_||8E
adc (hl)|8085|_||8E
adc (hl)|ez80|_||8E
adc (hl)|ez80_z80|_||8E
adc (hl)|gbz80|_||8E
adc (hl)|kc160|_||8E
adc (hl)|kc160_z80|_||8E
adc (hl)|r2ka|_||8E
adc (hl)|r3k|_||8E
adc (hl)|r4k|_||7F;8E
adc (hl)|r5k|_||7F;8E
adc (hl)|r6k|_||7F;8E
adc (hl)|r6k_strict|_||7F;8E
adc (hl)|r800|_||8E
adc (hl)|z180|_||8E
adc (hl)|z80|_||8E
adc (hl)|z80n|_||8E
adc (hl+)|8080|X||8E;23
adc (hl+)|8085|X||8E;23
adc (hl+)|ez80|X||8E;23
adc (hl+)|ez80_z80|X||8E;23
adc (hl+)|gbz80|X||8E;23
adc (hl+)|kc160|X||8E;23
adc (hl+)|kc160_z80|X||8E;23
adc (hl+)|r2ka|X||8E;23
adc (hl+)|r3k|X||8E;23
adc (hl+)|r4k|X||7F;8E;23
adc (hl+)|r5k|X||7F;8E;23
adc (hl+)|r6k|X||7F;8E;23
adc (hl+)|r800|X||8E;23
adc (hl+)|z180|X||8E;23
adc (hl+)|z80|X||8E;23
adc (hl+)|z80n|X||8E;23
adc (hl-)|8080|X||8E;2B
adc (hl-)|8085|X||8E;2B
adc (hl-)|ez80|X||8E;2B
adc (hl-)|ez80_z80|X||8E;2B
adc (hl-)|gbz80|X||8E;2B
adc (hl-)|kc160|X||8E;2B
adc (hl-)|kc160_z80|X||8E;2B
adc (hl-)|r2ka|X||8E;2B
adc (hl-)|r3k|X||8E;2B
adc (hl-)|r4k|X||7F;8E;2B
adc (hl-)|r5k|X||7F;8E;2B
adc (hl-)|r6k|X||7F;8E;2B
adc (hl-)|r800|X||8E;2B
adc (hl-)|z180|X||8E;2B
adc (hl-)|z80|X||8E;2B
adc (hl-)|z80n|X||8E;2B
adc (ix)|ez80|_||DD 8E 00
adc (ix)|ez80_z80|_||DD 8E 00
adc (ix)|kc160|_||DD 8E 00
adc (ix)|kc160_z80|_||DD 8E 00
adc (ix)|r2ka|_||DD 8E 00
adc (ix)|r3k|_||DD 8E 00
adc (ix)|r4k|_||DD 8E 00
adc (ix)|r5k|_||DD 8E 00
adc (ix)|r6k|_||DD 8E 00
adc (ix)|r6k_strict|_||DD 8E 00
adc (ix)|r800|_||DD 8E 00
adc (ix)|z180|_||DD 8E 00
adc (ix)|z80|_||DD 8E 00
adc (ix)|z80n|_||DD 8E 00
adc (ix+%d)|ez80|_||DD 8E %d
adc (ix+%d)|ez80_z80|_||DD 8E %d
adc (ix+%d)|kc160|_||DD 8E %d
adc (ix+%d)|kc160_z80|_||DD 8E %d
adc (ix+%d)|r2ka|_||DD 8E %d
adc (ix+%d)|r3k|_||DD 8E %d
adc (ix+%d)|r4k|_||DD 8E %d
adc (ix+%d)|r5k|_||DD 8E %d
adc (ix+%d)|r6k|_||DD 8E %d
adc (ix+%d)|r6k_strict|_||DD 8E %d
adc (ix+%d)|r800|_||DD 8E %d
adc (ix+%d)|z180|_||DD 8E %d
adc (ix+%d)|z80|_||DD 8E %d
adc (ix+%d)|z80n|_||DD 8E %d
adc (iy)|ez80|_||FD 8E 00
adc (iy)|ez80_z80|_||FD 8E 00
adc (iy)|kc160|_||FD 8E 00
adc (iy)|kc160_z80|_||FD 8E 00
adc (iy)|r2ka|_||FD 8E 00
adc (iy)|r3k|_||FD 8E 00
adc (iy)|r4k|_||FD 8E 00
adc (iy)|r5k|_||FD 8E 00
adc (iy)|r6k|_||FD 8E 00
adc (iy)|r6k_strict|_||FD 8E 00
adc (iy)|r800|_||FD 8E 00
adc (iy)|z180|_||FD 8E 00
adc (iy)|z80|_||FD 8E 00
adc (iy)|z80n|_||FD 8E 00
adc (iy+%d)|ez80|_||FD 8E %d
adc (iy+%d)|ez80_z80|_||FD 8E %d
adc (iy+%d)|kc160|_||FD 8E %d
adc (iy+%d)|kc160_z80|_||FD 8E %d
adc (iy+%d)|r2ka|_||FD 8E %d
adc (iy+%d)|r3k|_||FD 8E %d
adc (iy+%d)|r4k|_||FD 8E %d
adc (iy+%d)|r5k|_||FD 8E %d
adc (iy+%d)|r6k|_||FD 8E %d
adc (iy+%d)|r6k_strict|_||FD 8E %d
adc (iy+%d)|r800|_||FD 8E %d
adc (iy+%d)|z180|_||FD 8E %d
adc (iy+%d)|z80|_||FD 8E %d
adc (iy+%d)|z80n|_||FD 8E %d
adc (phl)|kc160|_||5B;8E
adc (pix)|kc160|_||5B;DD 8E 00
adc (pix+%d)|kc160|_||5B;DD 8E %d
adc (piy)|kc160|_||5B;FD 8E 00
adc (piy+%d)|kc160|_||5B;FD 8E %d
adc (xhl)|kc160|_||40;8E
adc (xix)|kc160|_||40;DD 8E 00
adc (xix+%d)|kc160|_||40;DD 8E %d
adc (xiy)|kc160|_||40;FD 8E 00
adc (xiy+%d)|kc160|_||40;FD 8E %d
adc (yhl)|kc160|_||49;8E
adc (yix)|kc160|_||49;DD 8E 00
adc (yix+%d)|kc160|_||49;DD 8E %d
adc (yiy)|kc160|_||49;FD 8E 00
adc (yiy+%d)|kc160|_||49;FD 8E %d
adc (zhl)|kc160|_||7F;8E
adc (zix)|kc160|_||7F;DD 8E 00
adc (zix+%d)|kc160|_||7F;DD 8E %d
adc (ziy)|kc160|_||7F;FD 8E 00
adc (ziy+%d)|kc160|_||7F;FD 8E %d
adc a|8080|_||8F
adc a|8080_strict|_||8F
adc a|8085|_||8F
adc a|8085_strict|_||8F
adc a|ez80|_||8F
adc a|ez80_z80|_||8F
adc a|gbz80|_||8F
adc a|kc160|_||8F
adc a|kc160_z80|_||8F
adc a|r2ka|_||8F
adc a|r3k|_||8F
adc a|r4k|_||7F;8F
adc a|r5k|_||7F;8F
adc a|r6k|_||7F;8F
adc a|r6k_strict|_||7F;8F
adc a|r800|_||8F
adc a|z180|_||8F
adc a|z80|_||8F
adc a|z80n|_||8F
adc a'|r2ka|_||76;8F
adc a'|r3k|_||76;8F
adc a'|r4k|_||76;7F;8F
adc a'|r5k|_||76;7F;8F
adc a'|r6k|_||76;7F;8F
adc a', %n|r2ka|_||76;CE %n
adc a', %n|r2ka_strict|_||76;CE %n
adc a', %n|r3k|_||76;CE %n
adc a', %n|r3k_strict|_||76;CE %n
adc a', %n|r4k|_||76;CE %n
adc a', %n|r4k_strict|_||76;CE %n
adc a', %n|r5k|_||76;CE %n
adc a', %n|r5k_strict|_||76;CE %n
adc a', %n|r6k|_||76;CE %n
adc a', %n|r6k_strict|_||76;CE %n
adc a', (hl)|r2ka|_||76;8E
adc a', (hl)|r2ka_strict|_||76;8E
adc a', (hl)|r3k|_||76;8E
adc a', (hl)|r3k_strict|_||76;8E
adc a', (hl)|r4k|_||76;7F;8E
adc a', (hl)|r4k_strict|_||76;7F;8E
adc a', (hl)|r5k|_||76;7F;8E
adc a', (hl)|r5k_strict|_||76;7F;8E
adc a', (hl)|r6k|_||76;7F;8E
adc a', (hl)|r6k_strict|_||76;7F;8E
adc a', (hl+)|r2ka|X||76;8E;23
adc a', (hl+)|r3k|X||76;8E;23
adc a', (hl+)|r4k|X||76;7F;8E;23
adc a', (hl+)|r5k|X||76;7F;8E;23
adc a', (hl+)|r6k|X||76;7F;8E;23
adc a', (hl-)|r2ka|X||76;8E;2B
adc a', (hl-)|r3k|X||76;8E;2B
adc a', (hl-)|r4k|X||76;7F;8E;2B
adc a', (hl-)|r5k|X||76;7F;8E;2B
adc a', (hl-)|r6k|X||76;7F;8E;2B
adc a', (ix)|r2ka|_||76;DD 8E 00
adc a', (ix)|r2ka_strict|_||76;DD 8E 00
adc a', (ix)|r3k|_||76;DD 8E 00
adc a', (ix)|r3k_strict|_||76;DD 8E 00
adc a', (ix)|r4k|_||76;DD 8E 00
adc a', (ix)|r4k_strict|_||76;DD 8E 00
adc a', (ix)|r5k|_||76;DD 8E 00
adc a', (ix)|r5k_strict|_||76;DD 8E 00
adc a', (ix)|r6k|_||76;DD 8E 00
adc a', (ix)|r6k_strict|_||76;DD 8E 00
adc a', (ix+%d)|r2ka|_||76;DD 8E %d
adc a', (ix+%d)|r2ka_strict|_||76;DD 8E %d
adc a', (ix+%d)|r3k|_||76;DD 8E %d
adc a', (ix+%d)|r3k_strict|_||76;DD 8E %d
adc a', (ix+%d)|r4k|_||76;DD 8E %d
adc a', (ix+%d)|r4k_strict|_||76;DD 8E %d
adc a', (ix+%d)|r5k|_||76;DD 8E %d
adc a', (ix+%d)|r5k_strict|_||76;DD 8E %d
adc a', (ix+%d)|r6k|_||76;DD 8E %d
adc a', (ix+%d)|r6k_strict|_||76;DD 8E %d
adc a', (iy)|r2ka|_||76;FD 8E 00
adc a', (iy)|r2ka_strict|_||76;FD 8E 00
adc a', (iy)|r3k|_||76;FD 8E 00
adc a', (iy)|r3k_strict|_||76;FD 8E 00
adc a', (iy)|r4k|_||76;FD 8E 00
adc a', (iy)|r4k_strict|_||76;FD 8E 00
adc a', (iy)|r5k|_||76;FD 8E 00
adc a', (iy)|r5k_strict|_||76;FD 8E 00
adc a', (iy)|r6k|_||76;FD 8E 00
adc a', (iy)|r6k_strict|_||76;FD 8E 00
adc a', (iy+%d)|r2ka|_||76;FD 8E %d
adc a', (iy+%d)|r2ka_strict|_||76;FD 8E %d
adc a', (iy+%d)|r3k|_||76;FD 8E %d
adc a', (iy+%d)|r3k_strict|_||76;FD 8E %d
adc a', (iy+%d)|r4k|_||76;FD 8E %d
adc a', (iy+%d)|r4k_strict|_||76;FD 8E %d
adc a', (iy+%d)|r5k|_||76;FD 8E %d
adc a', (iy+%d)|r5k_strict|_||76;FD 8E %d
adc a', (iy+%d)|r6k|_||76;FD 8E %d
adc a', (iy+%d)|r6k_strict|_||76;FD 8E %d
adc a', a|r2ka|_||76;8F
adc a', a|r2ka_strict|_||76;8F
adc a', a|r3k|_||76;8F
adc a', a|r3k_strict|_||76;8F
adc a', a|r4k|_||76;7F;8F
adc a', a|r4k_strict|_||76;7F;8F
adc a', a|r5k|_||76;7F;8F
adc a', a|r5k_strict|_||76;7F;8F
adc a', a|r6k|_||76;7F;8F
adc a', a|r6k_strict|_||76;7F;8F
adc a', a'|r6k|_||64;7F;8F
adc a', a'|r6k_strict|_||64;7F;8F
adc a', b|r2ka|_||76;88
adc a', b|r2ka_strict|_||76;88
