asm|cpu|synth
adc (hl+)|8080|adc m;inx h
adc (hl+)|8085|adc m;inx h
adc (hl+)|ez80|adc a, (hl);inc hl
adc (hl+)|ez80_z80|adc a, (hl);inc hl
adc (hl+)|gbz80|adc a, (hl);inc hl
adc (hl+)|kc160|adc a, (hl);inc hl
adc (hl+)|kc160_z80|adc a, (hl);inc hl
adc (hl+)|r2ka|adc a, (hl);inc hl
adc (hl+)|r3k|adc a, (hl);inc hl
adc (hl+)|r4k|adc a, (hl);inc hl
adc (hl+)|r5k|adc a, (hl);inc hl
adc (hl+)|r6k|adc a, (hl);inc hl
adc (hl+)|r800|adc a, (hl);inc hl
adc (hl+)|z180|adc a, (hl);inc hl
adc (hl+)|z80|adc a, (hl);inc hl
adc (hl+)|z80n|adc a, (hl);inc hl
adc (hl-)|8080|adc m;dcx h
adc (hl-)|8085|adc m;dcx h
adc (hl-)|ez80|adc a, (hl);dec hl
adc (hl-)|ez80_z80|adc a, (hl);dec hl
adc (hl-)|gbz80|adc a, (hl);dec hl
adc (hl-)|kc160|adc a, (hl);dec hl
adc (hl-)|kc160_z80|adc a, (hl);dec hl
adc (hl-)|r2ka|adc a, (hl);dec hl
adc (hl-)|r3k|adc a, (hl);dec hl
adc (hl-)|r4k|adc a, (hl);dec hl
adc (hl-)|r5k|adc a, (hl);dec hl
adc (hl-)|r6k|adc a, (hl);dec hl
adc (hl-)|r800|adc a, (hl);dec hl
adc (hl-)|z180|adc a, (hl);dec hl
adc (hl-)|z80|adc a, (hl);dec hl
adc (hl-)|z80n|adc a, (hl);dec hl
adc a', (hl+)|r2ka|altd adc a, (hl);inc hl
adc a', (hl+)|r3k|altd adc a, (hl);inc hl
adc a', (hl+)|r4k|altd adc a, (hl);inc hl
adc a', (hl+)|r5k|altd adc a, (hl);inc hl
adc a', (hl+)|r6k|altd adc a, (hl);inc hl
adc a', (hl-)|r2ka|altd adc a, (hl);dec hl
adc a', (hl-)|r3k|altd adc a, (hl);dec hl
adc a', (hl-)|r4k|altd adc a, (hl);dec hl
adc a', (hl-)|r5k|altd adc a, (hl);dec hl
adc a', (hl-)|r6k|altd adc a, (hl);dec hl
adc a, (hl+)|8080|adc m;inx h
adc a, (hl+)|8085|adc m;inx h
adc a, (hl+)|ez80|adc a, (hl);inc hl
adc a, (hl+)|ez80_z80|adc a, (hl);inc hl
adc a, (hl+)|gbz80|adc a, (hl);inc hl
adc a, (hl+)|kc160|adc a, (hl);inc hl
adc a, (hl+)|kc160_z80|adc a, (hl);inc hl
adc a, (hl+)|r2ka|adc a, (hl);inc hl
adc a, (hl+)|r3k|adc a, (hl);inc hl
adc a, (hl+)|r4k|adc a, (hl);inc hl
adc a, (hl+)|r5k|adc a, (hl);inc hl
adc a, (hl+)|r6k|adc a, (hl);inc hl
adc a, (hl+)|r800|adc a, (hl);inc hl
adc a, (hl+)|z180|adc a, (hl);inc hl
adc a, (hl+)|z80|adc a, (hl);inc hl
adc a, (hl+)|z80n|adc a, (hl);inc hl
adc a, (hl-)|8080|adc m;dcx h
adc a, (hl-)|8085|adc m;dcx h
adc a, (hl-)|ez80|adc a, (hl);dec hl
adc a, (hl-)|ez80_z80|adc a, (hl);dec hl
adc a, (hl-)|gbz80|adc a, (hl);dec hl
adc a, (hl-)|kc160|adc a, (hl);dec hl
adc a, (hl-)|kc160_z80|adc a, (hl);dec hl
adc a, (hl-)|r2ka|adc a, (hl);dec hl
adc a, (hl-)|r3k|adc a, (hl);dec hl
adc a, (hl-)|r4k|adc a, (hl);dec hl
adc a, (hl-)|r5k|adc a, (hl);dec hl
adc a, (hl-)|r6k|adc a, (hl);dec hl
adc a, (hl-)|r800|adc a, (hl);dec hl
adc a, (hl-)|z180|adc a, (hl);dec hl
adc a, (hl-)|z80|adc a, (hl);dec hl
adc a, (hl-)|z80n|adc a, (hl);dec hl
adc hl, bc|8080|extern __z80asm__adc_hl_bc;call __z80asm__adc_hl_bc
adc hl, bc|8085|extern __z80asm__adc_hl_bc;call __z80asm__adc_hl_bc
adc hl, bc|gbz80|extern __z80asm__adc_hl_bc;call __z80asm__adc_hl_bc
adc hl, de|8080|extern __z80asm__adc_hl_de;call __z80asm__adc_hl_de
adc hl, de|8085|extern __z80asm__adc_hl_de;call __z80asm__adc_hl_de
adc hl, de|gbz80|extern __z80asm__adc_hl_de;call __z80asm__adc_hl_de
adc hl, hl|8080|extern __z80asm__adc_hl_hl;call __z80asm__adc_hl_hl
adc hl, hl|8085|extern __z80asm__adc_hl_hl;call __z80asm__adc_hl_hl
adc hl, hl|gbz80|extern __z80asm__adc_hl_hl;call __z80asm__adc_hl_hl
adc hl, sp|8080|extern __z80asm__adc_hl_sp;call __z80asm__adc_hl_sp
adc hl, sp|8085|extern __z80asm__adc_hl_sp;call __z80asm__adc_hl_sp
adc hl, sp|gbz80|extern __z80asm__adc_hl_sp;call __z80asm__adc_hl_sp
adc.l (hl+)|ez80_z80|adc.lis a, (hl);inc.lis hl
adc.l (hl-)|ez80_z80|adc.lis a, (hl);dec.lis hl
adc.l a, (hl+)|ez80_z80|adc.lis a, (hl);inc.lis hl
adc.l a, (hl-)|ez80_z80|adc.lis a, (hl);dec.lis hl
adc.lis (hl+)|ez80_z80|adc.lis a, (hl);inc.lis hl
adc.lis (hl-)|ez80_z80|adc.lis a, (hl);dec.lis hl
adc.lis a, (hl+)|ez80_z80|adc.lis a, (hl);inc.lis hl
adc.lis a, (hl-)|ez80_z80|adc.lis a, (hl);dec.lis hl
adc.s (hl+)|ez80|adc.sil a, (hl);inc.sil hl
adc.s (hl-)|ez80|adc.sil a, (hl);dec.sil hl
adc.s a, (hl+)|ez80|adc.sil a, (hl);inc.sil hl
adc.s a, (hl-)|ez80|adc.sil a, (hl);dec.sil hl
adc.sil (hl+)|ez80|adc.sil a, (hl);inc.sil hl
adc.sil (hl-)|ez80|adc.sil a, (hl);dec.sil hl
adc.sil a, (hl+)|ez80|adc.sil a, (hl);inc.sil hl
adc.sil a, (hl-)|ez80|adc.sil a, (hl);dec.sil hl
add (hl+)|8080|add m;inx h
add (hl+)|8085|add m;inx h
add (hl+)|ez80|add a, (hl);inc hl
add (hl+)|ez80_z80|add a, (hl);inc hl
add (hl+)|gbz80|add a, (hl);inc hl
add (hl+)|kc160|add a, (hl);inc hl
add (hl+)|kc160_z80|add a, (hl);inc hl
add (hl+)|r2ka|add a, (hl);inc hl
add (hl+)|r3k|add a, (hl);inc hl
add (hl+)|r4k|add a, (hl);inc hl
add (hl+)|r5k|add a, (hl);inc hl
add (hl+)|r6k|add a, (hl);inc hl
add (hl+)|r800|add a, (hl);inc hl
add (hl+)|z180|add a, (hl);inc hl
add (hl+)|z80|add a, (hl);inc hl
add (hl+)|z80n|add a, (hl);inc hl
add (hl-)|8080|add m;dcx h
add (hl-)|8085|add m;dcx h
add (hl-)|ez80|add a, (hl);dec hl
add (hl-)|ez80_z80|add a, (hl);dec hl
add (hl-)|gbz80|add a, (hl);dec hl
add (hl-)|kc160|add a, (hl);dec hl
add (hl-)|kc160_z80|add a, (hl);dec hl
add (hl-)|r2ka|add a, (hl);dec hl
add (hl-)|r3k|add a, (hl);dec hl
add (hl-)|r4k|add a, (hl);dec hl
add (hl-)|r5k|add a, (hl);dec hl
add (hl-)|r6k|add a, (hl);dec hl
add (hl-)|r800|add a, (hl);dec hl
add (hl-)|z180|add a, (hl);dec hl
add (hl-)|z80|add a, (hl);dec hl
add (hl-)|z80n|add a, (hl);dec hl
add a', (hl+)|r2ka|altd add a, (hl);inc hl
add a', (hl+)|r3k|altd add a, (hl);inc hl
add a', (hl+)|r4k|altd add a, (hl);inc hl
add a', (hl+)|r5k|altd add a, (hl);inc hl
add a', (hl+)|r6k|altd add a, (hl);inc hl
add a', (hl-)|r2ka|altd add a, (hl);dec hl
add a', (hl-)|r3k|altd add a, (hl);dec hl
add a', (hl-)|r4k|altd add a, (hl);dec hl
add a', (hl-)|r5k|altd add a, (hl);dec hl
add a', (hl-)|r6k|altd add a, (hl);dec hl
add a, (hl+)|8080|add m;inx h
add a, (hl+)|8085|add m;inx h
add a, (hl+)|ez80|add a, (hl);inc hl
add a, (hl+)|ez80_z80|add a, (hl);inc hl
add a, (hl+)|gbz80|add a, (hl);inc hl
add a, (hl+)|kc160|add a, (hl);inc hl
add a, (hl+)|kc160_z80|add a, (hl);inc hl
add a, (hl+)|r2ka|add a, (hl);inc hl
add a, (hl+)|r3k|add a, (hl);inc hl
add a, (hl+)|r4k|add a, (hl);inc hl
add a, (hl+)|r5k|add a, (hl);inc hl
add a, (hl+)|r6k|add a, (hl);inc hl
add a, (hl+)|r800|add a, (hl);inc hl
add a, (hl+)|z180|add a, (hl);inc hl
add a, (hl+)|z80|add a, (hl);inc hl
add a, (hl+)|z80n|add a, (hl);inc hl
add a, (hl-)|8080|add m;dcx h
add a, (hl-)|8085|add m;dcx h
add a, (hl-)|ez80|add a, (hl);dec hl
add a, (hl-)|ez80_z80|add a, (hl);dec hl
add a, (hl-)|gbz80|add a, (hl);dec hl
add a, (hl-)|kc160|add a, (hl);dec hl
add a, (hl-)|kc160_z80|add a, (hl);dec hl
add a, (hl-)|r2ka|add a, (hl);dec hl
add a, (hl-)|r3k|add a, (hl);dec hl
add a, (hl-)|r4k|add a, (hl);dec hl
add a, (hl-)|r5k|add a, (hl);dec hl
add a, (hl-)|r6k|add a, (hl);dec hl
add a, (hl-)|r800|add a, (hl);dec hl
add a, (hl-)|z180|add a, (hl);dec hl
add a, (hl-)|z80|add a, (hl);dec hl
add a, (hl-)|z80n|add a, (hl);dec hl
add bc, %m|8080|push h;lxi h, %m;dad b;mov b, h;mov c, l;pop h
add bc, %m|8085|push h;lxi h, %m;dad b;mov b, h;mov c, l;pop h
add bc, %m|ez80|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|ez80_z80|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|gbz80|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|kc160|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|kc160_z80|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|r2ka|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|r3k|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|r4k|push hl;ld hl, %m;add hl, bc;ld bc, hl;pop hl
add bc, %m|r5k|push hl;ld hl, %m;add hl, bc;ld bc, hl;pop hl
add bc, %m|r6k|push hl;ld hl, %m;add hl, bc;ld bc, hl;pop hl
add bc, %m|r800|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|z180|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, %m|z80|push hl;ld hl, %m;add hl, bc;ld b, h;ld c, l;pop hl
add bc, a|8080|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|8085|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|ez80|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|ez80_z80|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|gbz80|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|kc160|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|kc160_z80|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|r2ka|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|r3k|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|r4k|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|r5k|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|r6k|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|r800|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|z180|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add bc, a|z80|extern __z80asm__add_bc_a;call __z80asm__add_bc_a
add de, %m|8080|push h;lxi h, %m;dad d;mov d, h;mov e, l;pop h
add de, %m|8085|push h;lxi h, %m;dad d;mov d, h;mov e, l;pop h
add de, %m|ez80|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|ez80_z80|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|gbz80|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|kc160|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|kc160_z80|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|r2ka|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|r3k|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|r4k|push hl;ld hl, %m;add hl, de;ld de, hl;pop hl
add de, %m|r5k|push hl;ld hl, %m;add hl, de;ld de, hl;pop hl
add de, %m|r6k|push hl;ld hl, %m;add hl, de;ld de, hl;pop hl
add de, %m|r800|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|z180|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, %m|z80|push hl;ld hl, %m;add hl, de;ld d, h;ld e, l;pop hl
add de, a|8080|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|8085|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|ez80|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|ez80_z80|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|gbz80|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|kc160|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|kc160_z80|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|r2ka|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|r3k|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|r4k|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|r5k|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|r6k|extern __z80asm__add_de_a;call __z80asm__add_de_a
add de, a|r800|extern __z80asm__add_de_a;call __z80asm__add_de_a
