% z88dk-z80asm -v -dump-after-macro-expansion t/30-directive//input/define_06.asm
Assembling t/30-directive/input/define_06.asm...
# file: t/30-directive/input/define_06.asm
Identifier	"defb"	2:1	keyword=DEFB 
LeftParen	"("	1:17	
Integer	"2"	2:9	int_value=2 
Plus	"+"	1:19	
Integer	"3"	2:11	int_value=3 
RightParen	")"	1:21	
EndOfLine	"\n"	2:13	
Identifier	"defb"	4:1	keyword=DEFB 
LeftParen	"("	3:19	
Integer	"4"	4:9	int_value=4 
Minus	"-"	3:21	
Integer	"5"	4:11	int_value=5 
RightParen	")"	3:23	
EndOfLine	"\n"	4:13	
Identifier	"defb"	6:1	keyword=DEFB 
LeftParen	"("	5:17	
LeftParen	"("	1:17	
Integer	"6"	6:9	int_value=6 
Plus	"+"	1:19	
Integer	"7"	6:11	int_value=7 
RightParen	")"	1:21	
Plus	"+"	5:25	
LeftParen	"("	3:19	
Integer	"6"	6:9	int_value=6 
Minus	"-"	3:21	
Integer	"7"	6:11	int_value=7 
RightParen	")"	3:23	
RightParen	")"	5:33	
Multiply	"*"	5:34	
Integer	"3"	5:35	int_value=3 
EndOfLine	"\n"	6:13	
Identifier	"defb"	8:1	keyword=DEFB 
LeftParen	"("	7:19	
LeftParen	"("	5:17	
LeftParen	"("	1:17	
Integer	"8"	8:9	int_value=8 
Plus	"+"	1:19	
Integer	"9"	8:11	int_value=9 
RightParen	")"	1:21	
Plus	"+"	5:25	
LeftParen	"("	3:19	
Integer	"8"	8:9	int_value=8 
Minus	"-"	3:21	
Integer	"9"	8:11	int_value=9 
RightParen	")"	3:23	
RightParen	")"	5:33	
Multiply	"*"	5:34	
Integer	"3"	5:35	int_value=3 
RightParen	")"	7:27	
Multiply	"*"	7:28	
Integer	"3"	7:29	int_value=3 
EndOfLine	"\n"	8:13	
EndOfLine	"\n"	9:1	
# file: t/30-directive/input/define_06.asm
Identifier	"DEFINE"	1:9	keyword=DEFINE 
Identifier	"M1"	1:9	
LeftParen	"("	1:9	
Identifier	"a"	1:9	keyword=A 
Comma	","	1:9	
Identifier	"b"	1:9	keyword=B 
RightParen	")"	1:9	
EQ	"="	1:9	
LeftParen	"("	1:17	
Identifier	"a"	1:18	keyword=A 
Plus	"+"	1:19	
Identifier	"b"	1:20	keyword=B 
RightParen	")"	1:21	
# file: t/30-directive/input/define_06.asm
Identifier	"DEFINE"	3:9	keyword=DEFINE 
Identifier	"M2"	3:9	
LeftParen	"("	3:9	
Identifier	"a"	3:9	keyword=A 
Comma	","	3:9	
Identifier	"b"	3:9	keyword=B 
RightParen	")"	3:9	
EQ	"="	3:9	
LeftParen	"("	3:19	
Identifier	"a"	3:20	keyword=A 
Minus	"-"	3:21	
Identifier	"b"	3:22	keyword=B 
RightParen	")"	3:23	
# file: t/30-directive/input/define_06.asm
Identifier	"DEFINE"	5:9	keyword=DEFINE 
Identifier	"M3"	5:9	
LeftParen	"("	5:9	
Identifier	"a"	5:9	keyword=A 
Comma	","	5:9	
Identifier	"b"	5:9	keyword=B 
RightParen	")"	5:9	
EQ	"="	5:9	
LeftParen	"("	5:17	
Identifier	"M1"	5:18	
LeftParen	"("	5:20	
Identifier	"a"	5:21	keyword=A 
Comma	","	5:22	
Identifier	"b"	5:23	keyword=B 
RightParen	")"	5:24	
Plus	"+"	5:25	
Identifier	"M2"	5:26	
LeftParen	"("	5:28	
Identifier	"a"	5:29	keyword=A 
Comma	","	5:30	
Identifier	"b"	5:31	keyword=B 
RightParen	")"	5:32	
RightParen	")"	5:33	
Multiply	"*"	5:34	
Integer	"3"	5:35	int_value=3 
# file: t/30-directive/input/define_06.asm
Identifier	"DEFINE"	7:9	keyword=DEFINE 
Identifier	"M4"	7:9	
LeftParen	"("	7:9	
Identifier	"a"	7:9	keyword=A 
Comma	","	7:9	
Identifier	"b"	7:9	keyword=B 
RightParen	")"	7:9	
EQ	"="	7:9	
LeftParen	"("	7:19	
Identifier	"M3"	7:20	
LeftParen	"("	7:22	
Identifier	"a"	7:23	keyword=A 
Comma	","	7:24	
Identifier	"b"	7:25	keyword=B 
RightParen	")"	7:26	
RightParen	")"	7:27	
Multiply	"*"	7:28	
Integer	"3"	7:29	int_value=3 
